Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00001,30-06-2026,2026,6,June,Q2,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Corporate Sale,SP 125,Commuter,125,Grey,20,Female,Finance,93915,4248,3408,5959,89385,282,98752,70286,28466,10,3.7
ORD00002,15-01-2025,2025,1,January,Q1,Gujarat,Surat,Honda Dealer Surat,Corporate Sale,Activa 6G,Scooter,110,White,39,Male,Credit Card,79559,4165,6848,5632,71022,4372,83502,64631,18871,10,3.7
ORD00003,20-07-2026,2026,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,SP 125,Commuter,125,Blue,20,Female,Cash,93279,3628,3476,7948,86328,3323,97752,70208,27544,7,4.7
ORD00004,06-05-2026,2026,5,May,Q2,Maharashtra,Pune,Honda Dealer Pune,Corporate Sale,Hornet 2.0,Sports,184,Grey,24,Male,UPI,141068,5592,3787,9562,0,2396,146429,117282,29147,5,4.9
ORD00005,23-11-2025,2025,11,November,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,SP 125,Commuter,125,Blue,27,Male,Cash,90754,2850,6951,7719,86615,1289,101285,69400,31885,10,4.9
ORD00006,03-07-2026,2026,7,July,Q3,Gujarat,Surat,Honda Dealer Surat,Online Booking,Unicorn,Premium Commuter,160,Red,52,Female,Cash,112002,4947,4530,6479,102804,4251,113813,87991,25822,14,3.6
ORD00007,17-06-2025,2025,6,June,Q2,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Online Booking,SP 125,Commuter,125,Red,33,Male,Finance,87892,5548,6439,1150,0,2143,87790,75926,11864,8,4.6
ORD00008,03-08-2026,2026,8,August,Q3,Maharashtra,Pune,Honda Dealer Pune,Online Booking,SP 125,Commuter,125,Blue,43,Male,Cash,88106,6711,6320,7383,80671,724,94374,73447,20927,8,4.9
ORD00009,10-01-2026,2026,1,January,Q1,Maharashtra,Pune,Honda Dealer Pune,Online Booking,Hornet 2.0,Sports,184,Black,25,Female,Finance,143964,6877,5023,9913,0,2877,149146,105060,44086,7,3.7
ORD00010,01-11-2025,2025,11,November,Q4,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,Unicorn,Premium Commuter,160,Blue,22,Female,Finance,113304,6286,6311,1298,0,4736,109891,84122,25769,14,4.8
ORD00011,26-04-2026,2026,4,April,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Activa 6G,Scooter,110,Grey,53,Male,Cash,79889,294,3266,2139,0,1237,83763,61438,22325,2,4.5
ORD00012,22-07-2025,2025,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Hornet 2.0,Sports,184,Blue,26,Male,UPI,140308,2652,3022,6354,0,3069,143963,106107,37856,12,4.7
ORD00013,24-09-2025,2025,9,September,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,CB350,Premium,348,White,44,Female,Credit Card,213535,187,5510,7697,0,78,226477,162714,63763,7,5
ORD00014,19-01-2025,2025,1,January,Q1,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Shine 125,Commuter,125,Black,39,Female,Credit Card,87841,2415,7559,8620,0,505,101100,67740,33360,3,4.2
ORD00015,17-02-2025,2025,2,February,Q1,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Hornet 2.0,Sports,184,Grey,30,Male,Credit Card,138158,1751,5405,6080,132188,4219,143673,115821,27852,8,3.7
ORD00016,29-12-2025,2025,12,December,Q4,Gujarat,Surat,Honda Dealer Surat,Showroom Walk-in,Hornet 2.0,Sports,184,Red,26,Female,Cash,140764,3230,3154,6663,0,2023,145328,107973,37355,7,4.2
ORD00017,14-12-2026,2026,12,December,Q4,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Shine 125,Commuter,125,Blue,38,Female,UPI,86960,1002,5777,9192,81464,4494,96433,68129,28304,6,3.9
ORD00018,30-12-2025,2025,12,December,Q4,Uttar Pradesh,Noida,Honda Dealer Noida,Showroom Walk-in,Unicorn,Premium Commuter,160,Blue,34,Male,Finance,111991,6260,6503,5494,104357,1374,116354,84243,32111,8,4
ORD00019,21-11-2026,2026,11,November,Q4,Maharashtra,Nagpur,Honda Dealer Nagpur,Online Booking,SP 125,Commuter,125,Red,29,Male,Cash,88442,1889,7237,5988,0,4480,95298,67945,27353,11,4.4
ORD00020,01-07-2025,2025,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Shine 125,Commuter,125,Grey,51,Female,UPI,88400,6777,5926,7008,78910,2713,91844,64558,27286,9,3.5
ORD00021,02-06-2026,2026,6,June,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,White,49,Female,Finance,107647,2672,6641,6111,0,912,116815,85040,31775,10,3.6
ORD00022,26-07-2025,2025,7,July,Q3,Karnataka,Mysore,Honda Dealer Mysore,Showroom Walk-in,SP 125,Commuter,125,Blue,43,Female,Cash,90319,5392,3888,5351,83722,1205,92961,74062,18899,8,5
ORD00023,27-02-2025,2025,2,February,Q1,Gujarat,Surat,Honda Dealer Surat,Online Booking,Activa 6G,Scooter,110,Grey,43,Male,UPI,79945,4247,4169,5075,74972,726,84216,64863,19353,2,5
ORD00024,22-04-2025,2025,4,April,Q2,Maharashtra,Nagpur,Honda Dealer Nagpur,Showroom Walk-in,CB350,Premium,348,Blue,43,Male,Credit Card,211455,2081,4056,6982,209159,215,220197,172374,47823,10,4.2
ORD00025,16-06-2026,2026,6,June,Q2,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,SP 125,Commuter,125,Blue,39,Male,UPI,93016,969,7005,6210,87639,4408,100854,75813,25041,7,4.8
ORD00026,29-05-2026,2026,5,May,Q2,Uttar Pradesh,Noida,Honda Dealer Noida,Showroom Walk-in,CB350,Premium,348,White,38,Female,Credit Card,212283,2842,7732,5393,206791,2650,219916,170407,49509,11,3.6
ORD00027,03-01-2026,2026,1,January,Q1,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Activa 6G,Scooter,110,Grey,46,Female,UPI,81515,2376,4060,3037,75824,3315,82921,60801,22120,3,4.8
ORD00028,03-11-2025,2025,11,November,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,SP 125,Commuter,125,Grey,45,Female,Cash,92099,1866,3464,6713,87094,3139,97271,76401,20870,15,4.8
ORD00029,29-01-2026,2026,1,January,Q1,Maharashtra,Nagpur,Honda Dealer Nagpur,Showroom Walk-in,CB350,Premium,348,Grey,20,Female,UPI,213567,2695,3145,5001,209319,1553,217465,176599,40866,1,4.3
ORD00030,22-12-2025,2025,12,December,Q4,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,CB350,Premium,348,Red,23,Male,Credit Card,214896,5968,3869,9163,0,1652,220308,165021,55287,8,4.3
ORD00031,13-12-2026,2026,12,December,Q4,Uttar Pradesh,Noida,Honda Dealer Noida,Showroom Walk-in,Activa 6G,Scooter,110,Blue,42,Male,Finance,77731,3689,3620,1057,73395,647,78072,64036,14036,3,3.6
ORD00032,01-05-2026,2026,5,May,Q2,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,SP 125,Commuter,125,Black,53,Male,Finance,87216,1368,7226,8228,0,4120,97182,69325,27857,5,4.5
ORD00033,12-01-2025,2025,1,January,Q1,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,Activa 6G,Scooter,110,Blue,53,Female,Cash,77385,3829,6005,5716,0,991,84286,65750,18536,10,3.9
ORD00034,12-07-2026,2026,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,Shine 125,Commuter,125,Red,40,Male,Finance,82951,1466,3706,8185,78554,2931,90445,68508,21937,12,5
ORD00035,17-12-2025,2025,12,December,Q4,Maharashtra,Nagpur,Honda Dealer Nagpur,Online Booking,SP 125,Commuter,125,Grey,54,Male,Cash,91486,481,3375,3576,0,2081,95875,68912,26963,6,4.6
ORD00036,29-05-2026,2026,5,May,Q2,Maharashtra,Nagpur,Honda Dealer Nagpur,Showroom Walk-in,Activa 6G,Scooter,110,Red,22,Male,Finance,84342,4486,6804,1404,75948,3908,84156,62281,21875,8,4.9
ORD00037,17-07-2025,2025,7,July,Q3,Uttar Pradesh,Noida,Honda Dealer Noida,Corporate Sale,SP 125,Commuter,125,White,29,Male,Cash,90929,1436,7638,2928,86347,3146,96913,73936,22977,5,4.6
ORD00038,25-12-2025,2025,12,December,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Unicorn,Premium Commuter,160,Black,53,Female,Finance,112253,4086,5190,9922,0,4017,119262,92505,26757,6,4
ORD00039,16-11-2026,2026,11,November,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Unicorn,Premium Commuter,160,Blue,44,Male,Cash,109960,1094,7979,2671,0,3648,115868,92477,23391,5,3.9
